	N	Time(s)	Average_OB	Max_OB	Min_OB
	100	0.000017	2380	2926	1828
	200	0.000052	9556	11108	7981
	300	0.000106	21517	24733	18793
	400	0.000180	38355	42661	34292
	500	0.000275	60018	65715	54511
	600	0.000390	86468	93809	76870
	700	0.000541	117619	128017	106956
	800	0.000668	153614	166069	137999
	900	0.000835	194313	208432	181761
	1000	0.001035	240347	258612	224627
	1100	0.001233	290794	308938	270969
	1200	0.001468	346117	367310	325447
	1300	0.001713	405654	432885	379738
	1400	0.001985	470780	499251	445581
	1500	0.002272	540041	570647	500542
	1600	0.002562	614929	656613	583308
	1700	0.002884	693199	737532	651508
	1800	0.003240	778305	818057	738236
	1900	0.003679	867911	924880	826264
	2000	0.004007	960600	1004228	912085
	2100	0.004377	1059626	1113941	1013174
	2200	0.004803	1161807	1212227	1105897
	2300	0.005253	1270628	1331259	1215458
	2400	0.005670	1383421	1442408	1318697
	2500	0.006154	1501062	1562348	1426550
	2600	0.006626	1624341	1706220	1555532
	2700	0.007143	1751471	1826046	1687929
	2800	0.007694	1884079	1961163	1796578
	2900	0.008222	2018879	2097786	1936700
	3000	0.008795	2161925	2239716	2076599
	3100	0.009390	2307351	2410968	2187901
	3200	0.009991	2459803	2550974	2364512
	3300	0.010616	2615741	2721484	2514861
	3400	0.011280	2776286	2880194	2663123
	3500	0.011925	2944651	3050743	2826075
	3600	0.012667	3113635	3230090	2982629
	3700	0.013475	3289191	3417143	3168306
	3800	0.014119	3470643	3593729	3322424
	3900	0.015340	3657511	3808722	3496562
	4000	0.015758	3843659	3975650	3680994
	4100	0.016612	4040976	4180971	3904876
	4200	0.022820	4237056	4405143	4095043
	4300	0.021663	4444269	4626424	4296904
	4400	0.022724	4652003	4808558	4486747
	4500	0.023704	4866726	5042476	4661143
	4600	0.024968	5084898	5233237	4930388
	4700	0.026057	5309632	5514202	5098613
	4800	0.027233	5534893	5735535	5353622
	4900	0.028348	5770550	5954192	5588396
	5000	0.028617	6005031	6189143	5790481
	5100	0.030660	6251410	6424228	6038782
	5200	0.031946	6498131	6684158	6291284
	5300	0.031482	6748457	6943049	6545493
	5400	0.034977	7009320	7252536	6755149
	5500	0.036484	7266570	7466763	7090025
	5600	0.037439	7540759	7794988	7324596
	5700	0.038874	7808076	8053859	7539016
	5800	0.040343	8083286	8312993	7852862
	5900	0.042163	8360472	8623738	8153266
	6000	0.043256	8651191	8963866	8441296
	6100	0.044815	8942333	9232412	8660642
	6200	0.046277	9235235	9483982	8978291
	6300	0.048063	9539993	9842936	9194592
	6400	0.049795	9842280	10141248	9549289
	6500	0.051098	10152829	10447659	9865669
	6600	0.051847	10471276	10761386	10190870
	6700	0.051138	10783835	11068917	10484192
	6800	0.056811	11107223	11463111	10781867
	6900	0.058067	11440868	11788799	11130366
	7000	0.059732	11772266	12160231	11425076
	7100	0.062469	12109516	12438648	11766447
	7200	0.057744	12456381	12785031	12132669
	7300	0.056165	12805116	13099843	12488836
	7400	0.056341	13162319	13486398	12781364
	7500	0.057895	13517700	13864515	13063945
	7600	0.072995	13875796	14262909	13535096
	7700	0.075140	14245997	14591995	13905641
	7800	0.077935	14621942	15032954	14188790
	7900	0.081599	15001508	15374080	14655376
	8000	0.081712	15375225	15811626	15080140
	8100	0.084644	15772774	16268598	15395748
	8200	0.087448	16153952	16554541	15722809
	8300	0.077224	16555791	17086773	16186619
	8400	0.077467	16960114	17315135	16614727
	8500	0.079352	17357395	17740514	16876262
	8600	0.085904	17779159	18204416	17352642
	8700	0.081644	18184381	18682432	17716599
	8800	0.083803	18603359	19146133	18030778
	8900	0.086451	19036617	19492234	18621742
	9000	0.087976	19462360	19944627	18984190
	9100	0.089809	19889618	20350075	19487163
	9200	0.093295	20339834	20911320	19812709
	9300	0.095221	20787686	21252293	20365160
	9400	0.097456	21238751	21666677	20812003
	9500	0.100656	21692351	22121131	21166399
	9600	0.102103	22145221	22621847	21683087
	9700	0.105082	22607967	23191474	22042652
	9800	0.108737	23075527	23717615	22534105
	9900	0.110221	23544647	24128001	23063664
	10000	0.114329	24037064	24754190	23369961
