	N	Time(s)	Average_OB	Max_OB	Min_OB
	100	0.000000	99	99	99
	200	0.000000	199	199	199
	300	0.000000	299	299	299
	400	0.000000	399	399	399
	500	0.000000	499	499	499
	600	0.000001	599	599	599
	700	0.000001	699	699	699
	800	0.000001	799	799	799
	900	0.000001	899	899	899
	1000	0.000001	999	999	999
	1100	0.000001	1099	1099	1099
	1200	0.000001	1199	1199	1199
	1300	0.000001	1299	1299	1299
	1400	0.000001	1399	1399	1399
	1500	0.000002	1499	1499	1499
	1600	0.000002	1599	1599	1599
	1700	0.000002	1699	1699	1699
	1800	0.000002	1799	1799	1799
	1900	0.000002	1899	1899	1899
	2000	0.000002	1999	1999	1999
	2100	0.000003	2099	2099	2099
	2200	0.000002	2199	2199	2199
	2300	0.000002	2299	2299	2299
	2400	0.000002	2399	2399	2399
	2500	0.000003	2499	2499	2499
	2600	0.000002	2599	2599	2599
	2700	0.000002	2699	2699	2699
	2800	0.000003	2799	2799	2799
	2900	0.000003	2899	2899	2899
	3000	0.000003	2999	2999	2999
	3100	0.000003	3099	3099	3099
	3200	0.000003	3199	3199	3199
	3300	0.000003	3299	3299	3299
	3400	0.000003	3399	3399	3399
	3500	0.000003	3499	3499	3499
	3600	0.000003	3599	3599	3599
	3700	0.000003	3699	3699	3699
	3800	0.000004	3799	3799	3799
	3900	0.000004	3899	3899	3899
	4000	0.000004	3999	3999	3999
	4100	0.000004	4099	4099	4099
	4200	0.000004	4199	4199	4199
	4300	0.000004	4299	4299	4299
	4400	0.000004	4399	4399	4399
	4500	0.000004	4499	4499	4499
	4600	0.000005	4599	4599	4599
	4700	0.000005	4699	4699	4699
	4800	0.000006	4799	4799	4799
	4900	0.000005	4899	4899	4899
	5000	0.000005	4999	4999	4999
	5100	0.000005	5099	5099	5099
	5200	0.000005	5199	5199	5199
	5300	0.000005	5299	5299	5299
	5400	0.000006	5399	5399	5399
	5500	0.000006	5499	5499	5499
	5600	0.000006	5599	5599	5599
	5700	0.000005	5699	5699	5699
	5800	0.000005	5799	5799	5799
	5900	0.000006	5899	5899	5899
	6000	0.000006	5999	5999	5999
	6100	0.000005	6099	6099	6099
	6200	0.000007	6199	6199	6199
	6300	0.000007	6299	6299	6299
	6400	0.000006	6399	6399	6399
	6500	0.000006	6499	6499	6499
	6600	0.000006	6599	6599	6599
	6700	0.000006	6699	6699	6699
	6800	0.000006	6799	6799	6799
	6900	0.000006	6899	6899	6899
	7000	0.000007	6999	6999	6999
	7100	0.000007	7099	7099	7099
	7200	0.000007	7199	7199	7199
	7300	0.000007	7299	7299	7299
	7400	0.000007	7399	7399	7399
	7500	0.000007	7499	7499	7499
	7600	0.000008	7599	7599	7599
	7700	0.000008	7699	7699	7699
	7800	0.000008	7799	7799	7799
	7900	0.000008	7899	7899	7899
	8000	0.000009	7999	7999	7999
	8100	0.000009	8099	8099	8099
	8200	0.000009	8199	8199	8199
	8300	0.000008	8299	8299	8299
	8400	0.000009	8399	8399	8399
	8500	0.000009	8499	8499	8499
	8600	0.000009	8599	8599	8599
	8700	0.000009	8699	8699	8699
	8800	0.000009	8799	8799	8799
	8900	0.000009	8899	8899	8899
	9000	0.000010	8999	8999	8999
	9100	0.000010	9099	9099	9099
	9200	0.000010	9199	9199	9199
	9300	0.000010	9299	9299	9299
	9400	0.000010	9399	9399	9399
	9500	0.000010	9499	9499	9499
	9600	0.000010	9599	9599	9599
	9700	0.000011	9699	9699	9699
	9800	0.000010	9799	9799	9799
	9900	0.000010	9899	9899	9899
	10000	0.000010	9999	9999	9999
