	N	Time(s)	Average_OB	Max_OB	Min_OB
	100	0.000025	4950	4950	4950
	200	0.000097	19900	19900	19900
	300	0.000150	44850	44850	44850
	400	0.000216	79800	79800	79800
	500	0.000330	124750	124750	124750
	600	0.000465	179700	179700	179700
	700	0.000689	244650	244650	244650
	800	0.000936	319600	319600	319600
	900	0.001030	404550	404550	404550
	1000	0.001315	499500	499500	499500
	1100	0.001703	604450	604450	604450
	1200	0.001805	719400	719400	719400
	1300	0.002077	844350	844350	844350
	1400	0.002396	979300	979300	979300
	1500	0.002637	1124250	1124250	1124250
	1600	0.003058	1279200	1279200	1279200
	1700	0.003399	1444150	1444150	1444150
	1800	0.003804	1619100	1619100	1619100
	1900	0.004240	1804050	1804050	1804050
	2000	0.004692	1999000	1999000	1999000
	2100	0.005193	2203950	2203950	2203950
	2200	0.005646	2418900	2418900	2418900
	2300	0.006213	2643850	2643850	2643850
	2400	0.006751	2878800	2878800	2878800
	2500	0.007306	3123750	3123750	3123750
	2600	0.007891	3378700	3378700	3378700
	2700	0.008494	3643650	3643650	3643650
	2800	0.009135	3918600	3918600	3918600
	2900	0.009835	4203550	4203550	4203550
	3000	0.010633	4498500	4498500	4498500
	3100	0.011399	4803450	4803450	4803450
	3200	0.011914	5118400	5118400	5118400
	3300	0.012659	5443350	5443350	5443350
	3400	0.013460	5778300	5778300	5778300
	3500	0.014282	6123250	6123250	6123250
	3600	0.015270	6478200	6478200	6478200
	3700	0.016071	6843150	6843150	6843150
	3800	0.016812	7218100	7218100	7218100
	3900	0.017765	7603050	7603050	7603050
	4000	0.018613	7998000	7998000	7998000
	4100	0.019583	8402950	8402950	8402950
	4200	0.020551	8817900	8817900	8817900
	4300	0.021765	9242850	9242850	9242850
	4400	0.022545	9677800	9677800	9677800
	4500	0.023619	10122750	10122750	10122750
	4600	0.024598	10577700	10577700	10577700
	4700	0.025659	11042650	11042650	11042650
	4800	0.027162	11517600	11517600	11517600
	4900	0.028050	12002550	12002550	12002550
	5000	0.029290	12497500	12497500	12497500
	5100	0.030408	13002450	13002450	13002450
	5200	0.031699	13517400	13517400	13517400
	5300	0.032711	14042350	14042350	14042350
	5400	0.033891	14577300	14577300	14577300
	5500	0.035194	15122250	15122250	15122250
	5600	0.036494	15677200	15677200	15677200
	5700	0.037731	16242150	16242150	16242150
	5800	0.039022	16817100	16817100	16817100
	5900	0.040704	17402050	17402050	17402050
	6000	0.041821	17997000	17997000	17997000
	6100	0.043147	18601950	18601950	18601950
	6200	0.044749	19216900	19216900	19216900
	6300	0.046135	19841850	19841850	19841850
	6400	0.048000	20476800	20476800	20476800
	6500	0.049105	21121750	21121750	21121750
	6600	0.050739	21776700	21776700	21776700
	6700	0.052241	22441650	22441650	22441650
	6800	0.053823	23116600	23116600	23116600
	6900	0.055419	23801550	23801550	23801550
	7000	0.056830	24496500	24496500	24496500
	7100	0.058861	25201450	25201450	25201450
	7200	0.060374	25916400	25916400	25916400
	7300	0.061952	26641350	26641350	26641350
	7400	0.063633	27376300	27376300	27376300
	7500	0.065826	28121250	28121250	28121250
	7600	0.067156	28876200	28876200	28876200
	7700	0.069390	29641150	29641150	29641150
	7800	0.070899	30416100	30416100	30416100
	7900	0.072511	31201050	31201050	31201050
	8000	0.074378	31996000	31996000	31996000
	8100	0.076164	32800950	32800950	32800950
	8200	0.078061	33615900	33615900	33615900
	8300	0.080351	34440850	34440850	34440850
	8400	0.082132	35275800	35275800	35275800
	8500	0.084262	36120750	36120750	36120750
	8600	0.086236	36975700	36975700	36975700
	8700	0.087876	37840650	37840650	37840650
	8800	0.089976	38715600	38715600	38715600
	8900	0.091888	39600550	39600550	39600550
	9000	0.094616	40495500	40495500	40495500
	9100	0.096602	41400450	41400450	41400450
	9200	0.098743	42315400	42315400	42315400
	9300	0.100414	43240350	43240350	43240350
	9400	0.102658	44175300	44175300	44175300
	9500	0.105012	45120250	45120250	45120250
	9600	0.107346	46075200	46075200	46075200
	9700	0.109666	47040150	47040150	47040150
	9800	0.111500	48015100	48015100	48015100
	9900	0.113818	49000050	49000050	49000050
	10000	0.116137	49995000	49995000	49995000
