	N	Time(s)	Average_OB	Max_OB	Min_OB
	100	0.000007	2484	3099	1978
	200	0.000023	9749	11319	8329
	300	0.000046	21817	24347	19302
	400	0.000080	38784	43510	33982
	500	0.000126	60487	66872	54980
	600	0.000177	86920	94604	79577
	700	0.000245	118244	126196	106730
	800	0.000312	154466	167460	143953
	900	0.000407	195552	210576	180924
	1000	0.000583	241310	256434	223191
	1100	0.000637	291619	311111	268904
	1200	0.000757	347301	366550	323609
	1300	0.000886	407388	434330	385399
	1400	0.001007	471958	494905	443273
	1500	0.001150	541710	571028	506660
	1600	0.001291	616167	650492	583755
	1700	0.001385	696005	735803	662834
	1800	0.001577	780027	816777	720925
	1900	0.001766	869641	914758	827973
	2000	0.001935	962839	1005013	897014
	2100	0.002141	1061826	1118934	1008683
	2200	0.002289	1163221	1217358	1115269
	2300	0.002545	1273928	1333654	1199882
	2400	0.002737	1385724	1459042	1319470
	2500	0.002949	1505091	1573338	1431108
	2600	0.003174	1626887	1700684	1549228
	2700	0.003439	1755261	1835862	1690930
	2800	0.003708	1886638	1962390	1810353
	2900	0.003949	2020980	2097065	1939944
	3000	0.004253	2164785	2255016	2079974
	3100	0.004583	2311985	2416262	2223914
	3200	0.004912	2463254	2549347	2364163
	3300	0.005188	2620892	2723633	2512006
	3400	0.005421	2780834	2875918	2678034
	3500	0.005741	2947556	3061720	2838310
	3600	0.006063	3117302	3233105	3004447
	3700	0.006399	3291181	3424518	3182783
	3800	0.006780	3474815	3603904	3337194
	3900	0.007360	3659524	3785520	3547535
	4000	0.007702	3845767	4006994	3695499
	4100	0.008024	4043209	4220331	3868397
	4200	0.008294	4243667	4404269	4107880
	4300	0.008662	4448925	4604478	4302370
	4400	0.009148	4656679	4812516	4525601
	4500	0.009491	4869800	5037907	4705020
	4600	0.009989	5087939	5276149	4889196
	4700	0.010339	5313186	5491109	5127243
	4800	0.010791	5538732	5743527	5350705
	4900	0.011197	5773706	5981616	5618358
	5000	0.011780	6012212	6187309	5820047
	5100	0.012198	6255064	6459547	6067550
	5200	0.012631	6503538	6697090	6300525
	5300	0.013289	6750750	6962134	6554476
	5400	0.013843	7011866	7220157	6791186
	5500	0.015884	7272939	7479854	7078183
	5600	0.015528	7541985	7759713	7325206
	5700	0.015162	7816387	8057445	7573642
	5800	0.015713	8085370	8340758	7824958
	5900	0.016274	8367863	8648185	8134910
	6000	0.016802	8661674	8902664	8424302
	6100	0.017352	8949386	9180258	8674311
	6200	0.018008	9243597	9461885	8960448
	6300	0.018556	9545059	9783806	9279527
	6400	0.019129	9848368	10112896	9561239
	6500	0.019747	10157552	10456004	9878488
	6600	0.020375	10467233	10759379	10175168
	6700	0.020950	10797109	11062664	10532971
	6800	0.021713	11121236	11466422	10777663
	6900	0.022187	11446106	11809382	11127619
	7000	0.022840	11780343	12093544	11477440
	7100	0.023503	12119669	12445192	11821160
	7200	0.024226	12469000	12783757	12133437
	7300	0.024835	12813639	13130730	12457131
	7400	0.025597	13166499	13476982	12789727
	7500	0.026408	13528900	13887864	13222632
	7600	0.026956	13886485	14253162	13552297
	7700	0.027637	14262458	14640165	13947208
	7800	0.028583	14629705	14968520	14207865
	7900	0.029148	15004272	15456623	14529649
	8000	0.030023	15385356	15751486	15017634
	8100	0.030650	15770997	16153962	15367425
	8200	0.031647	16157162	16528080	15782797
	8300	0.033212	16563173	17093309	16205149
	8400	0.039207	16966500	17445641	16500123
	8500	0.034553	17369697	17836139	16927922
	8600	0.034633	17784220	18220543	17368102
	8700	0.035459	18194127	18642345	17688087
	8800	0.036159	18616290	19079968	18180810
	8900	0.036966	19050077	19550690	18586662
	9000	0.037808	19476001	19890575	18976052
	9100	0.038622	19906548	20477290	19501575
	9200	0.039582	20353519	20999358	19869266
	9300	0.040421	20792642	21244025	20257062
	9400	0.041254	21244494	21747753	20777242
	9500	0.042245	21693160	22123019	21215458
	9600	0.043120	22152322	22627972	21438288
	9700	0.043808	22620839	23084758	22026236
	9800	0.044691	23091162	23649580	22557416
	9900	0.045632	23556277	24079200	23065129
	10000	0.046576	24048816	24582263	23480718
