	N	Time(s)	Average_OB	Max_OB	Min_OB
	100	0.000000	199	199	199
	200	0.000001	382	399	200
	300	0.000001	576	599	300
	400	0.000001	774	799	400
	500	0.000002	971	999	604
	600	0.000002	1169	1199	704
	700	0.000002	1368	1399	804
	800	0.000002	1568	1599	904
	900	0.000003	1768	1799	1004
	1000	0.000003	1968	1999	1104
	1100	0.000003	2167	2199	1204
	1200	0.000003	2370	2399	1304
	1300	0.000003	2568	2599	1404
	1400	0.000004	2770	2799	1504
	1500	0.000004	2971	2999	1604
	1600	0.000004	3172	3199	1704
	1700	0.000005	3371	3399	1804
	1800	0.000005	3568	3599	1904
	1900	0.000005	3769	3799	2104
	2000	0.000005	3972	3999	2403
	2100	0.000006	4175	4199	2703
	2200	0.000006	4375	4399	2904
	2300	0.000006	4578	4599	3203
	2400	0.000006	4781	4799	3503
	2500	0.000007	4981	4999	3704
	2600	0.000007	5183	5199	4003
	2700	0.000007	5383	5399	4204
	2800	0.000008	5586	5599	4503
	2900	0.000009	5786	5799	4704
	3000	0.000008	5986	5999	4904
	3100	0.000009	6188	6199	5203
	3200	0.000009	6388	6399	5404
	3300	0.000009	6588	6599	5604
	3400	0.000010	6790	6799	5903
	3500	0.000010	6990	6999	6104
	3600	0.000010	7190	7199	6304
	3700	0.000010	7390	7399	6504
	3800	0.000011	7592	7599	6803
	3900	0.000011	7792	7799	7004
	4000	0.000011	7992	7999	7204
	4100	0.000011	8192	8199	7404
	4200	0.000012	8393	8399	7703
	4300	0.000012	8593	8599	7904
	4400	0.000012	8793	8799	8104
	4500	0.000013	8993	8999	8304
	4600	0.000012	9193	9199	8504
	4700	0.000013	9393	9399	8704
	4800	0.000013	9595	9599	9003
	4900	0.000014	9795	9799	9204
	5000	0.000014	9995	9999	9404
	5100	0.000014	10195	10199	9604
	5200	0.000014	10395	10399	9804
	5300	0.000015	10595	10599	10004
	5400	0.000015	10795	10799	10204
	5500	0.000015	10995	10999	10404
	5600	0.000016	11196	11199	10703
	5700	0.000016	11396	11399	10904
	5800	0.000017	11596	11599	11104
	5900	0.000017	11796	11799	11304
	6000	0.000016	11996	11999	11504
	6100	0.000017	12196	12199	11704
	6200	0.000018	12396	12399	11904
	6300	0.000017	12596	12599	12104
	6400	0.000018	12796	12799	12304
	6500	0.000019	12996	12999	12504
	6600	0.000020	13196	13199	12704
	6700	0.000019	13397	13399	13003
	6800	0.000018	13597	13599	13204
	6900	0.000019	13797	13799	13404
	7000	0.000020	13997	13999	13604
	7100	0.000020	14197	14199	13804
	7200	0.000020	14397	14399	14004
	7300	0.000022	14597	14599	14204
	7400	0.000020	14797	14799	14404
	7500	0.000022	14997	14999	14604
	7600	0.000021	15197	15199	14804
	7700	0.000021	15397	15399	15004
	7800	0.000023	15597	15599	15204
	7900	0.000022	15797	15799	15404
	8000	0.000023	15997	15999	15604
	8100	0.000024	16197	16199	15804
	8200	0.000023	16397	16399	16004
	8300	0.000023	16597	16599	16204
	8400	0.000024	16798	16799	16503
	8500	0.000025	16998	16999	16704
	8600	0.000025	17198	17199	16904
	8700	0.000025	17398	17399	17104
	8800	0.000025	17598	17599	17304
	8900	0.000025	17798	17799	17504
	9000	0.000034	17998	17999	17704
	9100	0.000026	18198	18199	17904
	9200	0.000030	18398	18399	18104
	9300	0.000029	18598	18599	18304
	9400	0.000027	18798	18799	18504
	9500	0.000026	18998	18999	18704
	9600	0.000027	19198	19199	18904
	9700	0.000028	19398	19399	19104
	9800	0.000034	19598	19599	19304
	9900	0.000028	19798	19799	19504
	10000	0.000026	19998	19999	19704
