	N	Time(s)	Average_OB	Max_OB	Min_OB
	100	0.000007	5050	5050	5050
	200	0.000027	20083	20100	19901
	300	0.000059	45127	45150	44851
	400	0.000100	80175	80200	79801
	500	0.000150	125222	125250	124855
	600	0.000217	180270	180300	179805
	700	0.000298	245319	245350	244755
	800	0.000404	320369	320400	319705
	900	0.000483	405419	405450	404655
	1000	0.000603	500469	500500	499605
	1100	0.000752	605518	605550	604555
	1200	0.000941	720571	720600	719505
	1300	0.001020	845619	845650	844455
	1400	0.001200	980671	980700	979405
	1500	0.001359	1125722	1125750	1124355
	1600	0.001522	1280773	1280800	1279305
	1700	0.001705	1445822	1445850	1444255
	1800	0.001932	1620869	1620900	1619205
	1900	0.002185	1805920	1805950	1804255
	2000	0.002394	2000973	2001000	1999404
	2100	0.002623	2206026	2206050	2204554
	2200	0.002886	2421076	2421100	2419605
	2300	0.003180	2646129	2646150	2644754
	2400	0.003461	2881182	2881200	2879904
	2500	0.003699	3126232	3126250	3124955
	2600	0.003993	3381284	3381300	3380104
	2700	0.004299	3646334	3646350	3645155
	2800	0.004719	3921387	3921400	3920304
	2900	0.005031	4206437	4206450	4205355
	3000	0.005392	4501487	4501500	4500405
	3100	0.005795	4806539	4806550	4805554
	3200	0.006141	5121589	5121600	5120605
	3300	0.006478	5446639	5446650	5445655
	3400	0.006885	5781691	5781700	5780804
	3500	0.007374	6126741	6126750	6125855
	3600	0.007724	6481791	6481800	6480905
	3700	0.008456	6846841	6846850	6845955
	3800	0.008503	7221893	7221900	7221104
	3900	0.008942	7606943	7606950	7606155
	4000	0.009380	8001993	8002000	8001205
	4100	0.009872	8407043	8407050	8406255
	4200	0.010349	8822094	8822100	8821404
	4300	0.010880	9247144	9247150	9246455
	4400	0.011402	9682194	9682200	9681505
	4500	0.011871	10127244	10127250	10126555
	4600	0.012428	10582294	10582300	10581605
	4700	0.013656	11047344	11047350	11046655
	4800	0.013781	11522396	11522400	11521804
	4900	0.014102	12007446	12007450	12006855
	5000	0.014668	12502496	12502500	12501905
	5100	0.015306	13007546	13007550	13006955
	5200	0.015970	13522596	13522600	13522005
	5300	0.016757	14047646	14047650	14047055
	5400	0.017156	14582696	14582700	14582105
	5500	0.017821	15127746	15127750	15127155
	5600	0.018428	15682797	15682800	15682304
	5700	0.019193	16247847	16247850	16247355
	5800	0.020729	16822897	16822900	16822405
	5900	0.021098	17407947	17407950	17407455
	6000	0.021155	18002997	18003000	18002505
	6100	0.022030	18608047	18608050	18607555
	6200	0.022557	19223097	19223100	19222605
	6300	0.023759	19848147	19848150	19847655
	6400	0.024503	20483197	20483200	20482705
	6500	0.024812	21128247	21128250	21127755
	6600	0.025544	21783297	21783300	21782805
	6700	0.026362	22448348	22448350	22447954
	6800	0.027120	23123398	23123400	23123005
	6900	0.027886	23808448	23808450	23808055
	7000	0.028737	24503498	24503500	24503105
	7100	0.029564	25208548	25208550	25208155
	7200	0.030388	25923598	25923600	25923205
	7300	0.031507	26648648	26648650	26648255
	7400	0.032071	27383698	27383700	27383305
	7500	0.032962	28128748	28128750	28128355
	7600	0.033907	28883798	28883800	28883405
	7700	0.035063	29648848	29648850	29648455
	7800	0.035608	30423898	30423900	30423505
	7900	0.036857	31208948	31208950	31208555
	8000	0.038327	32003998	32004000	32003605
	8100	0.038440	32809048	32809050	32808655
	8200	0.039821	33624098	33624100	33623705
	8300	0.040954	34449148	34449150	34448755
	8400	0.041613	35284199	35284200	35283904
	8500	0.042531	36129249	36129250	36128955
	8600	0.043463	36984299	36984300	36984005
	8700	0.045407	37849349	37849350	37849055
	8800	0.045436	38724399	38724400	38724105
	8900	0.046545	39609449	39609450	39609155
	9000	0.047489	40504499	40504500	40504205
	9100	0.049368	41409549	41409550	41409255
	9200	0.049602	42324599	42324600	42324305
	9300	0.051298	43249649	43249650	43249355
	9400	0.051810	44184699	44184700	44184405
	9500	0.054021	45129749	45129750	45129455
	9600	0.053986	46084799	46084800	46084505
	9700	0.055145	47049849	47049850	47049555
	9800	0.057946	48024899	48024900	48024605
	9900	0.059139	49009949	49009950	49009655
	10000	0.059063	50004999	50005000	50004705
