	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	43	1000	1
	1500	0.000000	78	1500	1
	2000	0.000000	106	1999	1
	2500	0.000000	158	2497	1
	3000	0.000000	168	2994	1
	3500	0.000000	195	3498	1
	4000	0.000000	206	3999	1
	4500	0.000000	222	4500	1
	5000	0.000000	260	4997	1
	5500	0.000000	289	5496	1
	6000	0.000001	363	5990	1
	6500	0.000001	375	6494	1
	7000	0.000001	363	6997	1
	7500	0.000001	442	7487	1
	8000	0.000001	336	7995	1
	8500	0.000001	380	8497	1
	9000	0.000001	539	9000	1
	9500	0.000001	495	9498	1
	10000	0.000001	588	10000	1
