	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	170	998	1
	1500	0.000000	148	1498	1
	2000	0.000000	280	1986	1
	2500	0.000000	252	2495	1
	3000	0.000000	299	3000	1
	3500	0.000001	405	3495	1
	4000	0.000001	486	3975	1
	4500	0.000001	607	4479	1
	5000	0.000001	522	4982	1
	5500	0.000001	494	5495	1
	6000	0.000001	609	5993	1
	6500	0.000001	852	6480	1
	7000	0.000001	611	6986	1
	7500	0.000002	1056	7492	1
	8000	0.000001	893	7989	1
	8500	0.000002	1080	8490	1
	9000	0.000002	1219	8980	1
	9500	0.000001	1015	9479	1
	10000	0.000002	1227	9997	1
