	N	Time(s)	Average_OB	Max_OB	Min_OB
	1	0.000000	0.00	0	0
	6	0.000000	15.00	15	15
	11	0.000001	55.00	55	55
	16	0.000002	120.00	120	120
	21	0.000002	210.00	210	210
	26	0.000003	325.00	325	325
	31	0.000004	465.00	465	465
	36	0.000006	630.00	630	630
	41	0.000006	820.00	820	820
	46	0.000008	1035.00	1035	1035
	51	0.000010	1275.00	1275	1275
	56	0.000012	1540.00	1540	1540
	61	0.000013	1830.00	1830	1830
	66	0.000015	2145.00	2145	2145
	71	0.000018	2485.00	2485	2485
	76	0.000022	2850.00	2850	2850
	81	0.000023	3240.00	3240	3240
	86	0.000027	3655.00	3655	3655
	91	0.000029	4095.00	4095	4095
	96	0.000030	4560.00	4560	4560
	101	0.000036	5050.00	5050	5050
	106	0.000036	5565.00	5565	5565
	111	0.000040	6105.00	6105	6105
	116	0.000042	6670.00	6670	6670
	121	0.000045	7260.00	7260	7260
	126	0.000048	7875.00	7875	7875
	131	0.000054	8515.00	8515	8515
	136	0.000055	9180.00	9180	9180
	141	0.000061	9870.00	9870	9870
	146	0.000061	10585.00	10585	10585
	151	0.000066	11325.00	11325	11325
	156	0.000068	12090.00	12090	12090
	161	0.000080	12880.00	12880	12880
	166	0.000076	13695.00	13695	13695
	171	0.000088	14535.00	14535	14535
	176	0.000084	15400.00	15400	15400
	181	0.000088	16290.00	16290	16290
	186	0.000093	17205.00	17205	17205
	191	0.000097	18145.00	18145	18145
	196	0.000103	19110.00	19110	19110
	201	0.000109	20100.00	20100	20100
	206	0.000114	21115.00	21115	21115
	211	0.000118	22155.00	22155	22155
	216	0.000125	23220.00	23220	23220
	221	0.000130	24310.00	24310	24310
	226	0.000135	25425.00	25425	25425
	231	0.000141	26565.00	26565	26565
	236	0.000145	27730.00	27730	27730
	241	0.000151	28920.00	28920	28920
	246	0.000156	30135.00	30135	30135
	251	0.000163	31375.00	31375	31375
	256	0.000168	32640.00	32640	32640
	261	0.000172	33930.00	33930	33930
	266	0.000190	35245.00	35245	35245
	271	0.000191	36585.00	36585	36585
	276	0.000197	37950.00	37950	37950
	281	0.000202	39340.00	39340	39340
	286	0.000217	40755.00	40755	40755
	291	0.000215	42195.00	42195	42195
	296	0.000223	43660.00	43660	43660
	301	0.000233	45150.00	45150	45150
	306	0.000242	46665.00	46665	46665
	311	0.000248	48205.00	48205	48205
	316	0.000248	49770.00	49770	49770
	321	0.000260	51360.00	51360	51360
	326	0.000271	52975.00	52975	52975
	331	0.000270	54615.00	54615	54615
	336	0.000280	56280.00	56280	56280
	341	0.000292	57970.00	57970	57970
	346	0.000290	59685.00	59685	59685
	351	0.000297	61425.00	61425	61425
	356	0.000313	63190.00	63190	63190
	361	0.000318	64980.00	64980	64980
	366	0.000332	66795.00	66795	66795
	371	0.000334	68635.00	68635	68635
	376	0.000346	70500.00	70500	70500
	381	0.000351	72390.00	72390	72390
	386	0.000358	74305.00	74305	74305
	391	0.000411	76245.00	76245	76245
	396	0.000384	78210.00	78210	78210
	401	0.000395	80200.00	80200	80200
	406	0.000408	82215.00	82215	82215
	411	0.000406	84255.00	84255	84255
	416	0.000412	86320.00	86320	86320
	421	0.000419	88410.00	88410	88410
	426	0.000437	90525.00	90525	90525
	431	0.000444	92665.00	92665	92665
	436	0.000454	94830.00	94830	94830
	441	0.000462	97020.00	97020	97020
	446	0.000474	99235.00	99235	99235
	451	0.000487	101475.00	101475	101475
	456	0.000489	103740.00	103740	103740
	461	0.000513	106030.00	106030	106030
	466	0.000511	108345.00	108345	108345
	471	0.000535	110685.00	110685	110685
	476	0.000534	113050.00	113050	113050
	481	0.000543	115440.00	115440	115440
	486	0.000561	117855.00	117855	117855
	491	0.000568	120295.00	120295	120295
	496	0.000576	122760.00	122760	122760
