	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000001	500	1000	1
	1500	0.000001	750	1500	1
	2000	0.000001	1000	2000	1
	2500	0.000001	1250	2500	1
	3000	0.000002	1500	3000	1
	3500	0.000002	1750	3500	1
	4000	0.000002	2000	4000	1
	4500	0.000002	2250	4500	1
	5000	0.000003	2500	5000	1
	5500	0.000003	2750	5500	1
	6000	0.000004	3000	6000	1
	6500	0.000004	3250	6500	1
	7000	0.000004	3500	7000	1
	7500	0.000004	3750	7500	1
	8000	0.000005	4000	8000	1
	8500	0.000005	4250	8500	1
	9000	0.000005	4500	9000	1
	9500	0.000006	4750	9500	1
	10000	0.000006	5000	10000	1
