	N	Time(s)	Average_OB	Max_OB	Min_OB
	500	0.000067	3853	3879	3818
	1000	0.000144	8709	8754	8657
	1500	0.000228	13960	14023	13900
	2000	0.000315	19416	19471	19336
	2500	0.000394	25118	25183	25021
	3000	0.000480	30916	30980	30841
	3500	0.000571	36843	36924	36771
	4000	0.000658	42825	42920	42746
	4500	0.000770	48996	49072	48882
	5000	0.000853	55233	55345	55107
	5500	0.000948	61516	61613	61448
	6000	0.001082	67838	67973	67733
	6500	0.001106	74247	74364	74094
	7000	0.001276	80674	80798	80556
	7500	0.001301	87147	87329	86999
	8000	0.001430	93630	93794	93509
	8500	0.001526	100269	100404	100126
	9000	0.001594	106982	107116	106876
	9500	0.001762	113700	113839	113507
	10000	0.001888	120442	120593	120299
