	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000103	8709	8757	8652
	1100	0.000117	9738	9800	9682
	1200	0.000128	10784	10838	10720
	1300	0.000139	11835	11913	11770
	1400	0.000144	12897	12968	12829
	1500	0.000157	13961	14025	13893
	1600	0.000170	15040	15108	14943
	1700	0.000185	16127	16202	16056
	1800	0.000196	17219	17292	17150
	1900	0.000209	18315	18385	18249
	2000	0.000224	19412	19477	19324
	2100	0.000241	20533	20601	20449
	2200	0.000244	21676	21753	21601
	2300	0.000276	22817	22907	22719
	2400	0.000269	23964	24041	23888
	2500	0.000296	25112	25196	25018
	2600	0.000302	26269	26370	26179
	2700	0.000312	27430	27542	27348
	2800	0.000325	28591	28697	28497
	2900	0.000354	29755	29845	29663
	3000	0.000352	30918	31005	30803
	3100	0.000360	32091	32191	31989
	3200	0.000370	33276	33368	33186
	3300	0.000386	34463	34570	34373
	3400	0.000397	35653	35759	35530
	3500	0.000417	36843	36940	36729
	3600	0.000427	38034	38115	37929
	3700	0.000440	39227	39353	39100
	3800	0.000461	40425	40528	40325
	3900	0.000468	41622	41703	41529
	4000	0.000498	42823	42931	42707
	4100	0.000490	44025	44132	43916
	4200	0.000486	45264	45375	45143
	4300	0.000508	46507	46618	46400
	4400	0.000551	47746	47852	47643
	4500	0.000555	48989	49120	48887
	4600	0.000564	50231	50328	50082
	4700	0.000565	51480	51592	51322
	4800	0.000601	52727	52841	52604
	4900	0.000613	53977	54100	53844
	5000	0.000618	55226	55379	55051
	5100	0.000635	56473	56601	56312
	5200	0.000629	57733	57851	57614
	5300	0.000657	58994	59124	58825
	5400	0.000659	60255	60406	60129
	5500	0.000694	61518	61629	61369
	5600	0.000686	62778	62919	62645
	5700	0.000706	64040	64166	63913
	5800	0.000716	65307	65462	65178
	5900	0.000742	66571	66691	66429
	6000	0.000751	67836	67995	67678
	6100	0.000733	69107	69261	68964
	6200	0.000763	70383	70544	70234
	6300	0.000779	71670	71819	71537
	6400	0.000807	72957	73102	72790
	6500	0.000851	74239	74371	74101
	6600	0.000890	75522	75654	75362
	6700	0.000862	76810	76947	76667
	6800	0.000845	78102	78256	77941
	6900	0.000858	79394	79509	79233
	7000	0.000871	80679	80825	80490
	7100	0.000891	81972	82118	81824
	7200	0.000883	83260	83428	83065
	7300	0.000898	84561	84702	84361
	7400	0.000906	85855	86012	85716
	7500	0.000933	87152	87301	86994
	7600	0.000956	88447	88595	88289
	7700	0.000974	89748	89915	89581
	7800	0.000985	91046	91255	90893
	7900	0.000995	92349	92481	92187
	8000	0.001018	93642	93773	93509
	8100	0.001076	94943	95103	94811
	8200	0.001063	96246	96410	96116
	8300	0.001069	97592	97741	97457
	8400	0.001078	98930	99119	98775
	8500	0.001105	100269	100423	100093
	8600	0.001150	101609	101755	101460
	8700	0.001140	102952	103080	102792
	8800	0.001164	104292	104443	104130
	8900	0.001160	105642	105823	105447
	9000	0.001159	106978	107139	106806
	9100	0.001183	108323	108537	108138
	9200	0.001185	109667	109815	109441
	9300	0.001211	111014	111176	110845
	9400	0.001219	112358	112532	112184
	9500	0.001241	113706	113867	113534
	9600	0.001251	115055	115220	114892
	9700	0.001297	116409	116563	116237
	9800	0.001301	117753	117914	117594
	9900	0.001346	119102	119264	118879
	10000	0.001355	120452	120619	120275
