	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000063	5044	5044	5044
	1100	0.000074	5732	5732	5732
	1200	0.000077	6432	6432	6432
	1300	0.000082	7072	7072	7072
	1400	0.000087	7708	7708	7708
	1500	0.000093	8288	8288	8288
	1600	0.000102	8896	8896	8896
	1700	0.000115	9516	9516	9516
	1800	0.000119	10044	10044	10044
	1900	0.000125	10608	10608	10608
	2000	0.000135	11088	11088	11088
	2100	0.000138	11748	11748	11748
	2200	0.000152	12564	12564	12564
	2300	0.000154	13292	13292	13292
	2400	0.000164	14064	14064	14064
	2500	0.000165	14752	14752	14752
	2600	0.000171	15444	15444	15444
	2700	0.000186	16164	16164	16164
	2800	0.000199	16816	16816	16816
	2900	0.000206	17484	17484	17484
	3000	0.000249	18076	18076	18076
	3100	0.000223	18676	18676	18676
	3200	0.000222	19392	19392	19392
	3300	0.000234	20076	20076	20076
	3400	0.000238	20732	20732	20732
	3500	0.000240	21340	21340	21340
	3600	0.000262	21888	21888	21888
	3700	0.000287	22536	22536	22536
	3800	0.000308	23116	23116	23116
	3900	0.000333	23664	23664	23664
	4000	0.000300	24176	24176	24176
	4100	0.000312	24624	24624	24624
	4200	0.000334	25596	25596	25596
	4300	0.000336	26480	26480	26480
	4400	0.000318	27328	27328	27328
	4500	0.000349	28148	28148	28148
	4600	0.000353	28884	28884	28884
	4700	0.000362	29748	29748	29748
	4800	0.000376	30528	30528	30528
	4900	0.000416	31284	31284	31284
	5000	0.000395	32004	32004	32004
	5100	0.000384	32668	32668	32668
	5200	0.000385	33488	33488	33488
	5300	0.000402	34288	34288	34288
	5400	0.000465	35028	35028	35028
	5500	0.000431	35756	35756	35756
	5600	0.000441	36432	36432	36432
	5700	0.000412	37156	37156	37156
	5800	0.000483	37868	37868	37868
	5900	0.000473	38500	38500	38500
	6000	0.000453	39152	39152	39152
	6100	0.000471	39736	39736	39736
	6200	0.000490	40452	40452	40452
	6300	0.000509	41268	41268	41268
	6400	0.000505	41984	41984	41984
	6500	0.000532	42768	42768	42768
	6600	0.000519	43452	43452	43452
	6700	0.000531	44148	44148	44148
	6800	0.000562	44864	44864	44864
	6900	0.000534	45512	45512	45512
	7000	0.000568	46180	46180	46180
	7100	0.000567	46768	46768	46768
	7200	0.000572	47376	47376	47376
	7300	0.000591	48100	48100	48100
	7400	0.000601	48772	48772	48772
	7500	0.000624	49432	49432	49432
	7600	0.000613	50032	50032	50032
	7700	0.000598	50592	50592	50592
	7800	0.000606	51228	51228	51228
	7900	0.000679	51808	51808	51808
	8000	0.000670	52352	52352	52352
	8100	0.000722	52872	52872	52872
	8200	0.000644	53348	53348	53348
	8300	0.000688	54412	54412	54412
	8400	0.000712	55392	55392	55392
	8500	0.000708	56344	56344	56344
	8600	0.000691	57260	57260	57260
	8700	0.000708	58088	58088	58088
	8800	0.000779	59056	59056	59056
	8900	0.000714	59944	59944	59944
	9000	0.000828	60796	60796	60796
	9100	0.000758	61616	61616	61616
	9200	0.000790	62368	62368	62368
	9300	0.000806	63304	63304	63304
	9400	0.000827	64196	64196	64196
	9500	0.000753	65040	65040	65040
	9600	0.000830	65856	65856	65856
	9700	0.000777	66640	66640	66640
	9800	0.000814	67468	67468	67468
	9900	0.000902	68276	68276	68276
	10000	0.000818	69008	69008	69008
