	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000064	5543	5543	5543
	1100	0.000067	6281	6281	6281
	1200	0.000076	7031	7031	7031
	1300	0.000080	7721	7721	7721
	1400	0.000088	8407	8407	8407
	1500	0.000095	9037	9037	9037
	1600	0.000105	9695	9695	9695
	1700	0.000108	10365	10365	10365
	1800	0.000113	10943	10943	10943
	1900	0.000126	11557	11557	11557
	2000	0.000133	12087	12087	12087
	2100	0.000141	12797	12797	12797
	2200	0.000147	13663	13663	13663
	2300	0.000166	14441	14441	14441
	2400	0.000195	15263	15263	15263
	2500	0.000173	16001	16001	16001
	2600	0.000180	16743	16743	16743
	2700	0.000189	17513	17513	17513
	2800	0.000200	18215	18215	18215
	2900	0.000207	18933	18933	18933
	3000	0.000207	19575	19575	19575
	3100	0.000216	20225	20225	20225
	3200	0.000218	20991	20991	20991
	3300	0.000224	21725	21725	21725
	3400	0.000233	22431	22431	22431
	3500	0.000247	23089	23089	23089
	3600	0.000242	23687	23687	23687
	3700	0.000252	24385	24385	24385
	3800	0.000266	25015	25015	25015
	3900	0.000272	25613	25613	25613
	4000	0.000282	26175	26175	26175
	4100	0.000281	26673	26673	26673
	4200	0.000292	27695	27695	27695
	4300	0.000304	28629	28629	28629
	4400	0.000306	29527	29527	29527
	4500	0.000314	30397	30397	30397
	4600	0.000318	31183	31183	31183
	4700	0.000352	32097	32097	32097
	4800	0.000339	32927	32927	32927
	4900	0.000345	33733	33733	33733
	5000	0.000354	34503	34503	34503
	5100	0.000356	35217	35217	35217
	5200	0.000367	36087	36087	36087
	5300	0.000380	36937	36937	36937
	5400	0.000385	37727	37727	37727
	5500	0.000391	38505	38505	38505
	5600	0.000394	39231	39231	39231
	5700	0.000410	40005	40005	40005
	5800	0.000417	40767	40767	40767
	5900	0.000435	41449	41449	41449
	6000	0.000427	42151	42151	42151
	6100	0.000439	42785	42785	42785
	6200	0.000438	43551	43551	43551
	6300	0.000458	44417	44417	44417
	6400	0.000485	45183	45183	45183
	6500	0.000484	46017	46017	46017
	6600	0.000488	46751	46751	46751
	6700	0.000512	47497	47497	47497
	6800	0.000516	48263	48263	48263
	6900	0.000511	48961	48961	48961
	7000	0.000503	49679	49679	49679
	7100	0.000538	50317	50317	50317
	7200	0.000523	50975	50975	50975
	7300	0.000525	51749	51749	51749
	7400	0.000548	52471	52471	52471
	7500	0.000555	53181	53181	53181
	7600	0.000606	53831	53831	53831
	7700	0.000556	54441	54441	54441
	7800	0.000604	55127	55127	55127
	7900	0.000581	55757	55757	55757
	8000	0.000595	56351	56351	56351
	8100	0.000594	56921	56921	56921
	8200	0.000629	57447	57447	57447
	8300	0.000629	58561	58561	58561
	8400	0.000657	59591	59591	59591
	8500	0.000624	60593	60593	60593
	8600	0.000640	61559	61559	61559
	8700	0.000639	62437	62437	62437
	8800	0.000722	63455	63455	63455
	8900	0.000669	64393	64393	64393
	9000	0.000657	65295	65295	65295
	9100	0.000713	66165	66165	66165
	9200	0.000731	66967	66967	66967
	9300	0.000748	67953	67953	67953
	9400	0.000713	68895	68895	68895
	9500	0.000732	69789	69789	69789
	9600	0.000764	70655	70655	70655
	9700	0.000788	71489	71489	71489
	9800	0.000779	72367	72367	72367
	9900	0.000759	73225	73225	73225
	10000	0.000800	74007	74007	74007
