	N	Time(s)	Average_OB	Max_OB	Min_OB
	1	0.000001	0	0	0
	101	0.000010	412	412	412
	201	0.000020	920	920	920
	301	0.000032	1468	1468	1468
	401	0.000053	2034	2034	2034
	501	0.000061	2529	2529	2529
	601	0.000066	3228	3228	3228
	701	0.000080	3864	3864	3864
	801	0.000092	4460	4460	4460
	901	0.000126	5033	5033	5033
	1001	0.000131	5553	5553	5553
	1101	0.000126	6296	6296	6296
	1201	0.000140	7046	7046	7046
	1301	0.000152	7736	7736	7736
	1401	0.000167	8420	8420	8420
	1501	0.000178	9049	9049	9049
	1601	0.000195	9710	9710	9710
	1701	0.000300	10378	10378	10378
	1801	0.000220	10957	10957	10957
	1901	0.000226	11568	11568	11568
	2001	0.000278	12099	12099	12099
	2101	0.000327	12814	12814	12814
	2201	0.000264	13680	13680	13680
	2301	0.000284	14455	14455	14455
	2401	0.000298	15280	15280	15280
	2501	0.000305	16017	16017	16017
	2601	0.000319	16760	16760	16760
	2701	0.000349	17529	17529	17529
	2801	0.000353	18230	18230	18230
	2901	0.000379	18948	18948	18948
	3001	0.000416	19589	19589	19589
	3101	0.000444	20240	20240	20240
	3201	0.000409	21008	21008	21008
	3301	0.000416	21739	21739	21739
	3401	0.000445	22446	22446	22446
	3501	0.000485	23102	23102	23102
	3601	0.000456	23703	23703	23703
	3701	0.000475	24398	24398	24398
	3801	0.000518	25028	25028	25028
	3901	0.000536	25625	25625	25625
	4001	0.000508	26189	26189	26189
	4101	0.000532	26694	26694	26694
	4201	0.000556	27714	27714	27714
	4301	0.000569	28647	28647	28647
	4401	0.000595	29546	29546	29546
	4501	0.000700	30415	30415	30415
	4601	0.000640	31199	31199	31199
	4701	0.000647	32114	32114	32114
	4801	0.000671	32946	32946	32946
	4901	0.000660	33751	33751	33751
	5001	0.000663	34521	34521	34521
	5101	0.000765	35232	35232	35232
	5201	0.000702	36106	36106	36106
	5301	0.000736	36954	36954	36954
	5401	0.000760	37745	37745	37745
	5501	0.000881	38520	38520	38520
	5601	0.000789	39248	39248	39248
	5701	0.000826	40023	40023	40023
	5801	0.000841	40784	40784	40784
	5901	0.000799	41466	41466	41466
	6001	0.000818	42167	42167	42167
	6101	0.000896	42800	42800	42800
	6201	0.000856	43568	43568	43568
	6301	0.000914	44433	44433	44433
	6401	0.000943	45202	45202	45202
	6501	0.000956	46033	46033	46033
	6601	0.001047	46767	46767	46767
	6701	0.000971	47513	47513	47513
	6801	0.000994	48280	48280	48280
	6901	0.001007	48975	48975	48975
	7001	0.001086	49694	49694	49694
	7101	0.000998	50330	50330	50330
	7201	0.001005	50993	50993	50993
	7301	0.001090	51766	51766	51766
	7401	0.001076	52486	52486	52486
	7501	0.001076	53196	53196	53196
	7601	0.001114	53846	53846	53846
	7701	0.001063	54457	54457	54457
	7801	0.001115	55141	55141	55141
	7901	0.001169	55770	55770	55770
	8001	0.001269	56367	56367	56367
	8101	0.001182	56935	56935	56935
	8201	0.001160	57470	57470	57470
	8301	0.001172	58581	58581	58581
	8401	0.001211	59612	59612	59612
	8501	0.001250	60613	60613	60613
	8601	0.001236	61579	61579	61579
	8701	0.001239	62454	62454	62454
	8801	0.001265	63476	63476	63476
	8901	0.001302	64413	64413	64413
	9001	0.001313	65315	65315	65315
	9101	0.001351	66184	66184	66184
	9201	0.001380	66985	66985	66985
	9301	0.001374	67973	67973	67973
	9401	0.001577	68914	68914	68914
	9501	0.001413	69808	69808	69808
	9601	0.001440	70676	70676	70676
	9701	0.001427	71507	71507	71507
	9801	0.001450	72387	72387	72387
	9901	0.002097	73243	73243	73243
