	N	Time(s)	Average_OB	Max_OB	Min_OB
	1	0.000001	0	0	0
	101	0.000016	580	580	580
	201	0.000023	1353	1353	1353
	301	0.000040	2198	2198	2198
	401	0.000046	3098	3098	3098
	501	0.000056	3998	3998	3998
	601	0.000074	4987	4987	4987
	701	0.000082	5987	5987	5987
	801	0.000095	6987	6987	6987
	901	0.000106	7987	7987	7987
	1001	0.000140	8987	8987	8987
	1101	0.000132	10064	10064	10064
	1201	0.000147	11164	11164	11164
	1301	0.000161	12264	12264	12264
	1401	0.000193	13364	13364	13364
	1501	0.000199	14464	14464	14464
	1601	0.000200	15564	15564	15564
	1701	0.000212	16664	16664	16664
	1801	0.000237	17764	17764	17764
	1901	0.000238	18864	18864	18864
	2001	0.000301	19964	19964	19964
	2101	0.000264	21117	21117	21117
	2201	0.000308	22317	22317	22317
	2301	0.000294	23517	23517	23517
	2401	0.000334	24717	24717	24717
	2501	0.000325	25917	25917	25917
	2601	0.000363	27117	27117	27117
	2701	0.000391	28317	28317	28317
	2801	0.000405	29517	29517	29517
	2901	0.000382	30717	30717	30717
	3001	0.000401	31917	31917	31917
	3101	0.000416	33117	33117	33117
	3201	0.000557	34317	34317	34317
	3301	0.000441	35517	35517	35517
	3401	0.000476	36717	36717	36717
	3501	0.000511	37917	37917	37917
	3601	0.000487	39117	39117	39117
	3701	0.000532	40317	40317	40317
	3801	0.000529	41517	41517	41517
	3901	0.000569	42717	42717	42717
	4001	0.000546	43917	43917	43917
	4101	0.000728	45122	45122	45122
	4201	0.000686	46422	46422	46422
	4301	0.000638	47722	47722	47722
	4401	0.000630	49022	49022	49022
	4501	0.000678	50322	50322	50322
	4601	0.000661	51622	51622	51622
	4701	0.000756	52922	52922	52922
	4801	0.000658	54222	54222	54222
	4901	0.000835	55522	55522	55522
	5001	0.000872	56822	56822	56822
	5101	0.000734	58122	58122	58122
	5201	0.000744	59422	59422	59422
	5301	0.000802	60722	60722	60722
	5401	0.000902	62022	62022	62022
	5501	0.001016	63322	63322	63322
	5601	0.001182	64622	64622	64622
	5701	0.001273	65922	65922	65922
	5801	0.001004	67222	67222	67222
	5901	0.000968	68522	68522	68522
	6001	0.001040	69822	69822	69822
	6101	0.001138	71122	71122	71122
	6201	0.001005	72422	72422	72422
	6301	0.001086	73722	73722	73722
	6401	0.001034	75022	75022	75022
	6501	0.001053	76322	76322	76322
	6601	0.001017	77622	77622	77622
	6701	0.001132	78922	78922	78922
	6801	0.001102	80222	80222	80222
	6901	0.001280	81522	81522	81522
	7001	0.001303	82822	82822	82822
	7101	0.001463	84122	84122	84122
	7201	0.001064	85422	85422	85422
	7301	0.001126	86722	86722	86722
	7401	0.001113	88022	88022	88022
	7501	0.001147	89322	89322	89322
	7601	0.001157	90622	90622	90622
	7701	0.001171	91922	91922	91922
	7801	0.001300	93222	93222	93222
	7901	0.001239	94522	94522	94522
	8001	0.001239	95822	95822	95822
	8101	0.001280	97122	97122	97122
	8201	0.001367	98431	98431	98431
	8301	0.001326	99831	99831	99831
	8401	0.001253	101231	101231	101231
	8501	0.001352	102631	102631	102631
	8601	0.001314	104031	104031	104031
	8701	0.001329	105431	105431	105431
	8801	0.001395	106831	106831	106831
	8901	0.001379	108231	108231	108231
	9001	0.001453	109631	109631	109631
	9101	0.001420	111031	111031	111031
	9201	0.001508	112431	112431	112431
	9301	0.001404	113831	113831	113831
	9401	0.001538	115231	115231	115231
	9501	0.001477	116631	116631	116631
	9601	0.001648	118031	118031	118031
	9701	0.001570	119431	119431	119431
	9801	0.001534	120831	120831	120831
	9901	0.001611	122231	122231	122231
