	N	Time(s)	Average_OB	Max_OB	Min_OB
	500	0.000051	4856	6125	4277
	1000	0.000112	10948	12685	9849
	1500	0.000166	17522	21558	16131
	2000	0.000228	24886	29262	22380
	2500	0.000307	32008	36026	29147
	3000	0.000367	39405	47261	36504
	3500	0.000430	47182	55598	42958
	4000	0.000518	55562	65227	50251
	4500	0.000600	62865	73967	58080
	5000	0.000642	71170	80806	65576
	5500	0.000733	78849	90744	71999
	6000	0.000806	87535	99741	80919
	6500	0.000923	95872	111631	87688
	7000	0.000952	103652	122637	94300
	7500	0.001025	112373	148151	103782
	8000	0.001128	122318	145018	113186
	8500	0.001205	129445	146906	120887
	9000	0.001254	139086	153528	128904
	9500	0.001332	147111	165875	135148
	10000	0.001429	156441	179981	144399
